DVM,TPDetailsLookUp,
TP_Identifier,TP_Name,TP_EDI_ID,TP_EDI_ID_Qualifier,HOST_EDI_ID,HOST_EDI_ID_Qualifier,TP_Element_Separator,TP_Subelement_Separator,TP_Segment_Terminator,TP_File_Name_Prefix,TP_File_Location_Prefix,TP_Transformation_Type,TP_Integration_Code,TP_Integration_Version,TP_Intermediate_Integration_Identifier
007976384005269709HNIT,S P Richards,007976384,01,005269709HNIT,01,,,,SPRichards_,/home/users/hexaware_admin/oic/tradingpartner/outbound/spRichards,,,,
SCHOOLSP005269709HNIT,School Specialty,SCHOOLSP,ZZ,005269709HNIT,01,,,,School_,/home/users/hexaware_admin/oic/tradingpartner/outbound/schoolSpecialty,,,,
5082531642CHQT005269709HNIT,Staples Advantage Commerce Hub,5082531642CHQT,12,005269709HNIT,01,,,,Staples_,/home/users/hexaware_admin/oic/tradingpartner/outbound/commercehub,,,,
9055136116005269709HNIT,Staples Canada,9055136116,12,005269709HNIT,01,,,,Staples_,/home/users/hexaware_admin/oic/tradingpartner/outbound/staplesCanada,,,,
015106482Y2K005269709HNIT,Staples Legacy,015106482Y2K,01,005269709HNIT,01,,,,Staples_,/home/users/hexaware_admin/oic/tradingpartner/outbound/sterling,,,,
5082531648CHQT005269709HNIT,Staples.CA Commerce Hub,5082531648CHQT,12,005269709HNIT,01,,,,Staples_,/home/users/hexaware_admin/oic/tradingpartner/outbound/commercehub,,,,
5082531640CHQT005269709HNIT,Staples.com Commerce Hub,5082531640CHQT,12,005269709HNIT,01,,,,Staples_,/home/users/hexaware_admin/oic/tradingpartner/outbound/commercehub,,,,
5155586026005269709HNIT,Storey Kenworthy,5155586026,12,005269709HNIT,01,,,,Storey_,/home/users/hexaware_admin/oic/tradingpartner/outbound/storeykenworthy,,,,
6019825650005269709HNIT,TriMega,6019825650,12,005269709HNIT,01,,,,TriMega_,/home/users/hexaware_admin/oic/tradingpartner/outbound/trimega,,,,
052625005269709HNIT,Tylander Office,052625,ZZ,005269709HNIT,01,,,,Tylander_,/home/users/hexaware_admin/oic/tradingpartner/outbound/tylander,,,,
078301641005269709HNIT,Zerbee Business Products,078301641,01,005269709HNIT,01,,,,Zerbee_,/home/users/hexaware_admin/oic/tradingpartner/outbound/zerbee,,,,
Web,W B Mason,Web,,005269709HNIT,01,,,,WBMason_,,,,,
WBMASON005269709HNIT,W B Mason,WBMASON,ZZ,005269709HNIT,01,,,,WBMason_,/home/users/hexaware_admin/oic/tradingpartner/outbound/wbmason,,,,
web,Design Public Group,web,,005269709HNIT,01,,,,DesignPublicGroup_,,,,,
109613192647056,DDMS Supply,ECIPSN,ZZ,005269709HNIT,01,*,:,~,DDMSSupply_,/home/users/hexaware_admin/oic/tradingpartner/outbound/ddms,,DDMSSUPPLY_FTP_SEND,01.00.0000,LISTCANONICALXMLFILESFORDDMSSUPP
